Duluth,Minnesota,"86,918"
Rochester,Minnesota,"85,806"
Bloomington,Minnesota,"85,172"
Jackson,Mississippi,"184,256"
Gulfport,Mississippi,"71,127"
Kansas City,Missouri,"441,545"
St. Louis,Missouri,"348,189"
Springfield,Missouri,"151,580"
Independence,Missouri,"113,288"
Columbia,Missouri,"84,531"
St. Joseph,Missouri,"73,990"
Lee's Summit,Missouri,"70,700"
Billings,Montana,"89,847"
Omaha,Nebraska,"390,007"
Lincoln,Nebraska,"225,581"
Las Vegas,Nevada,"478,434"
Reno,Nevada,"180,480"
Henderson,Nevada,"175,381"
North Las Vegas,Nevada,"115,488"
Manchester,New Hampshire,"107,006"
Nashua,New Hampshire,"86,605"
Newark,New Jersey,"273,546"
Jersey City,New Jersey,"240,055"
Paterson,New Jersey,"149,222"
Elizabeth,New Jersey,"120,568"
Trenton,New Jersey,"85,403"
Camden,New Jersey,"79,904"
Clifton,New Jersey,"78,672"
East Orange,New Jersey,"69,824"
Albuquerque,New Mexico,"448,607"
Las Cruces,New Mexico,"74,267"
Buffalo,New York,"292,648"
Rochester,New York,"219,773"
Yonkers,New York,"196,086"
Syracuse,New York,"147,306"
Albany,New York,"95,658"
New Rochelle,New York,"72,182"
Mount Vernon,New York,"68,381"
Charlotte,North Carolina,"540,828"
Raleigh,North Carolina,"276,093"
Greensboro,North Carolina,"223,891"
Durham,North Carolina,"187,035"
Winston-Salem,North Carolina,"185,776"
Fayetteville,North Carolina,"121,015"
Cary,North Carolina,"94,536"
High Point,North Carolina,"85,839"
Wilmington,North Carolina,"75,838"
Asheville,North Carolina,"68,889"
Fargo,North Dakota,"90,599"
Cleveland,Ohio,"478,403"
Cincinnati,Ohio,"331,285"
Toledo,Ohio,"313,619"
Akron,Ohio,"217,074"
Dayton,Ohio,"166,179"
Parma,Ohio,"85,655"
Youngstown,Ohio,"82,026"
Canton,Ohio,"80,806"
Lorain,Ohio,"68,652"
Oklahoma City,Oklahoma,"506,132"
Tulsa,Oklahoma,"393,049"
Norman,Oklahoma,"95,694"
Lawton,Oklahoma,"92,757"
Broken Arrow,Oklahoma,"74,859"
Portland,Oregon,"529,121"
Eugene,Oregon,"137,893"
Salem,Oregon,"136,924"
Gresham,Oregon,"90,205"
Beaverton,Oregon,"76,129"
Hillsboro,Oregon,"70,186"
Pittsburgh,Pennsylvania,"334,563"
Allentown,Pennsylvania,"106,632"
Erie,Pennsylvania,"103,717"
Reading,Pennsylvania,"81,207"
Scranton,Pennsylvania,"76,415"
Bethlehem,Pennsylvania,"71,329"
Providence,Rhode Island,"173,618"
Warwick,Rhode Island,"85,808"
Cranston,Rhode Island,"79,269"
Pawtucket,Rhode Island,"72,958"
Columbia,South Carolina,"116,278"
Charleston,South Carolina,"96,650"
North Charleston,South Carolina,"79,641"
Sioux Falls,South Dakota,"123,975"
Memphis,Tennessee,"650,100"
Nashville-Davids,Tennessee,"545,524"
Knoxville,Tennessee,"173,890"
Chattanooga,Tennessee,"155,554"
Clarksville,Tennessee,"103,455"
Murfreesboro,Tennessee,"68,816"
Austin,Texas,"656,562"
El Paso,Texas,"563,662"
Fort Worth,Texas,"534,694"
Arlington,Texas,"332,969"
Corpus Christi,Texas,"277,454"
Plano,Texas,"222,030"
Garland,Texas,"215,768"
Lubbock,Texas,"199,564"
Irving,Texas,"191,615"
Laredo,Texas,"176,576"
Amarillo,Texas,"173,627"
Pasadena,Texas,"141,674"
Brownsville,Texas,"139,722"
Grand Prairie,Texas,"127,427"
Mesquite,Texas,"124,523"
Abilene,Texas,"115,930"
Beaumont,Texas,"113,866"
Waco,Texas,"113,726"
Carrollton,Texas,"109,576"
McAllen,Texas,"106,414"
Wichita Falls,Texas,"104,197"
Midland,Texas,"94,996"
Richardson,Texas,"91,802"
Odessa,Texas,"90,943"
San Angelo,Texas,"88,439"
Killeen,Texas,"86,911"
Tyler,Texas,"83,650"
Denton,Texas,"80,537"
Lewisville,Texas,"77,737"
Longview,Texas,"73,344"
Salt Lake City,Utah,"181,743"
West Valley City,Utah,"108,896"
Provo,Utah,"105,166"
Sandy,Utah,"88,418"
Orem,Utah,"84,324"
Ogden,Utah,"77,226"
Virginia Beach,Virginia,"425,257"
Norfolk,Virginia,"234,403"
Chesapeake,Virginia,"199,184"
Richmond,Virginia,"197,790"
Newport News,Virginia,"180,150"
Hampton,Virginia,"146,437"
Alexandria,Virginia,"128,283"
Portsmouth,Virginia,"100,565"
Roanoke,Virginia,"94,911"
Seattle,Washington,"563,374"
Spokane,Washington,"195,629"
Tacoma,Washington,"193,556"
Vancouver,Washington,"143,560"
Bellevue,Washington,"109,569"
Everett,Washington,"91,488"
Federal Way,Washington,"83,259"
Kent,Washington,"79,524"
Yakima,Washington,"71,845"
Milwaukee,Wisconsin,"596,974"
Madison,Wisconsin,"208,054"
Green Bay,Wisconsin,"102,313"
Kenosha,Wisconsin,"90,352"
Racine,Wisconsin,"81,855"
Appleton,Wisconsin,"70,087"
